Sarah,Gonzalez,39,M,Spanish,81994,Sarah.Gonzalez@gmail.com,Youtube,PC_Users Mac_Users,415,65120
Benjamin,Rodriguez,75,F,French,23109,Benjamin.Rodriguez@comcast.net,Twitter Youtube,Linux_Users Okstate_Fans Okstate_Fans,63,65472
Benjamin,Moore,58,M,Malay,23575,Benjamin.Moore@comcast.net,Borg Twitter Borg,Linux_Users,207,65328
Serenity,Harris,81,M,Russian,94499,Serenity.Harris@yahoo.com,Borg Facebook Amazon,OU_Fans University_of_Tennessee_Fans Mac_Users,194,65341
Adeline,Lee,63,F,Bengali,21586,Adeline.Lee@gmail.com,Twitter Twitter,Emacs_Users,110,65425
Ryan,Morris,35,M,Hindi,78889,Ryan.Morris@hotmail.net,Amazon Amazon Borg,University_of_Tennessee_Fans Okstate_Fans College_Football_Fans,74,65461
Ezekiel,Reed,36,M,Arabic,74809,Ezekiel.Reed@yahoo.com,Facebook Facebook,Vim_Users OU_Fans Mac_Users,62,65473
Owen,Coleman,19,F,French,7754,Owen.Coleman@hotmail.net,Amazon Borg,Linux_Users Okstate_Fans,442,65093
Victoria,Alexander,68,F,Hindi,45167,Victoria.Alexander@gmail.com,Facebook Borg,Emacs_Users,283,65252
Michael,Diaz,58,M,Bengali,64178,Michael.Diaz@hotmail.net,Amazon Youtube,University_of_Tennessee_Fans Vim_Users Deep_Space_Enthusiasts,304,65231
Samantha,Taylor,42,M,English,95843,Samantha.Taylor@gmail.com,Amazon,Vim_Users Linux_Users,185,65350
Andrew,Sanders,65,M,Mandarin,7684,Andrew.Sanders@yahoo.com,Facebook Facebook,PC_Users Deep_Space_Enthusiasts,190,65345
Grayson,Ward,18,M,French,25323,Grayson.Ward@gmail.com,Borg Twitter Youtube,Emacs_Users,113,65422
Jacob,Turner,64,M,Russian,50829,Jacob.Turner@hotmail.net,Youtube Google Amazon,Emacs_Users,287,65248
Owen,Martin,42,M,Mandarin,18112,Owen.Martin@comcast.net,Amazon,College_Football_Fans Emacs_Users,127,65408
Jameson,Hernandez,43,M,Malay,51958,Jameson.Hernandez@comcast.net,Borg Borg Borg,PC_Users,434,65101
Madison,Jones,41,F,Spanish,76197,Madison.Jones@comcast.net,Twitter Google,OU_Fans University_of_Tennessee_Fans PC_Users,207,65328
Aaron,Simmons,24,M,Bengali,84027,Aaron.Simmons@yahoo.com,Borg Amazon,Golfers PC_Users Deep_Space_Enthusiasts,469,65066
Liam,Wood,66,M,Urdu,65481,Liam.Wood@gmail.com,Amazon Borg Google,OU_Fans PC_Users Linux_Users,347,65188
Isla,Hall,35,F,Malay,79910,Isla.Hall@comcast.net,Google Youtube,Golfers,317,65218
Christian,Lopez,75,M,Malay,19511,Christian.Lopez@hotmail.net,Google Google Twitter,Vim_Users Golfers,334,65201
Alice,Brown,58,F,Spanish,60919,Alice.Brown@gmail.com,Youtube Amazon,Vim_Users,318,65217
Madelyn,Morgan,20,M,Hindi,50404,Madelyn.Morgan@gmail.com,Youtube,Mac_Users,487,65048
Valentina,Butler,60,M,Russian,2221,Valentina.Butler@comcast.net,Google,University_of_Tennessee_Fans College_Football_Fans,273,65262
Ruby,Martin,73,M,French,66849,Ruby.Martin@hotmail.net,Facebook,Mac_Users,265,65270
Ella,Long,38,M,Mandarin,49275,Ella.Long@yahoo.com,Google Facebook Amazon,PC_Users Okstate_Fans,323,65212
Mateo,Brown,58,M,Urdu,51931,Mateo.Brown@hotmail.net,Twitter Amazon Amazon,PC_Users College_Football_Fans,456,65079
Emery,Thompson,81,M,French,43903,Emery.Thompson@comcast.net,Google,Mac_Users College_Football_Fans Vim_Users,229,65306
John,Russell,69,M,Urdu,72265,John.Russell@yahoo.com,Borg,Golfers Mac_Users Golfers,158,65377
Jeremiah,Thomas,50,M,French,52460,Jeremiah.Thomas@hotmail.net,Facebook Google,Okstate_Fans,408,65127
Savannah,Rodriguez,54,M,French,71523,Savannah.Rodriguez@comcast.net,Twitter Twitter Amazon,Mac_Users,411,65124
Harper,Harris,80,M,Hindi,34160,Harper.Harris@yahoo.com,Facebook,Okstate_Fans Linux_Users Vim_Users,98,65437
Riley,Powell,77,M,Spanish,36114,Riley.Powell@hotmail.net,Facebook Youtube Borg,Linux_Users,499,65036
Madelyn,Howard,77,F,Mandarin,18730,Madelyn.Howard@comcast.net,Google Youtube,Vim_Users OU_Fans Okstate_Fans,129,65406
William,Thomas,40,F,French,27377,William.Thomas@gmail.com,Youtube,College_Football_Fans College_Football_Fans,332,65203
Arianna,Rivera,60,F,Bengali,80483,Arianna.Rivera@gmail.com,Google Twitter Google,Okstate_Fans OU_Fans,508,65027
Xavier,Stewart,21,M,Urdu,99003,Xavier.Stewart@comcast.net,Facebook Facebook Google,OU_Fans University_of_Tennessee_Fans,361,65174
Avery,Howard,34,F,Portuguese,26781,Avery.Howard@gmail.com,Twitter,University_of_Tennessee_Fans,50,65485
Daniel,White,40,M,French,73850,Daniel.White@hotmail.net,Facebook Amazon Amazon,Mac_Users College_Football_Fans,270,65265
Madeline,Foster,56,F,Arabic,85469,Madeline.Foster@comcast.net,Youtube Google,Mac_Users University_of_Tennessee_Fans,472,65063
Aurora,Torres,81,F,Arabic,38394,Aurora.Torres@hotmail.net,Twitter Google Twitter,Emacs_Users,306,65229
Valentina,Brown,76,F,Hindi,63077,Valentina.Brown@comcast.net,Borg,Mac_Users Emacs_Users,295,65240
Amelia,Ramirez,23,M,Hindi,77721,Amelia.Ramirez@gmail.com,Borg Borg Amazon,University_of_Tennessee_Fans,190,65345
Michael,Henderson,56,F,Hindi,12119,Michael.Henderson@yahoo.com,Twitter Amazon Borg,Golfers,60,65475
Mila,Rogers,49,F,French,20231,Mila.Rogers@hotmail.net,Facebook,Golfers,495,65040
Ava,Lee,55,F,Bengali,87758,Ava.Lee@hotmail.net,Google Facebook Facebook,Okstate_Fans,218,65317
Aubrey,Campbell,81,F,Spanish,9733,Aubrey.Campbell@yahoo.com,Youtube Facebook,Golfers,464,65071
Aurora,Davis,43,M,Hindi,65595,Aurora.Davis@hotmail.net,Youtube Amazon Amazon,PC_Users Deep_Space_Enthusiasts,328,65207
Lydia,Scott,79,F,Mandarin,75155,Lydia.Scott@gmail.com,Facebook Twitter,PC_Users Okstate_Fans,491,65044
Charles,Nelson,52,M,Spanish,31999,Charles.Nelson@comcast.net,Amazon Youtube Youtube,Emacs_Users Golfers,410,65125
Jaxson,Allen,74,F,Bengali,55928,Jaxson.Allen@hotmail.net,Facebook Borg,Deep_Space_Enthusiasts College_Football_Fans,105,65430
Anthony,Coleman,28,F,Urdu,21675,Anthony.Coleman@hotmail.net,Youtube Facebook,PC_Users Okstate_Fans Okstate_Fans,339,65196
Evan,Jackson,62,F,Mandarin,61224,Evan.Jackson@comcast.net,Borg Twitter Amazon,Linux_Users Okstate_Fans Vim_Users,382,65153
Ian,Gray,69,M,French,7802,Ian.Gray@comcast.net,Google Facebook,OU_Fans,390,65145
Mia,Griffin,75,F,Portuguese,22239,Mia.Griffin@comcast.net,Facebook,University_of_Tennessee_Fans Mac_Users,189,65346
Aubrey,Washington,14,F,Bengali,59164,Aubrey.Washington@gmail.com,Google Amazon Amazon,Emacs_Users,141,65394
Cameron,Foster,27,F,Arabic,68672,Cameron.Foster@hotmail.net,Amazon,Vim_Users Mac_Users,235,65300
Maverick,Adams,52,M,Mandarin,57571,Maverick.Adams@gmail.com,Youtube Google,Deep_Space_Enthusiasts Deep_Space_Enthusiasts PC_Users,217,65318
Joshua,Torres,62,M,Malay,91380,Joshua.Torres@yahoo.com,Amazon Borg Youtube,Golfers College_Football_Fans,107,65428
